XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-74.07901128,40.57536601,0,0001,5,Staten Island,011201,50112010001,587.805335,6807.296130,360850112010001
-74.21629798,40.55630107,1,0001,5,Staten Island,022600,50226000001,1997.789824,45247.167907,360850226000001
-74.08848669,40.64764084,2,1000,5,Staten Island,000700,50007001000,1379.136580,58960.084059,360850007001000
-74.08059357,40.64408647,3,1000,5,Staten Island,000900,50009001000,2508.947969,244589.558370,360850009001000
-74.07879577,40.64008211,4,1000,5,Staten Island,001100,50011001000,3266.314831,314611.256222,360850011001000
-74.07854744,40.63651510,5,1000,5,Staten Island,001700,50017001000,3072.403548,293775.234593,360850017001000
-74.07148062,40.61090047,6,1000,5,Staten Island,002001,50020011000,1345.886422,111006.286826,360850020011000
-74.07650533,40.62624378,7,1000,5,Staten Island,002700,50027001000,1703.381058,150406.784296,360850027001000
-74.08366007,40.62160531,8,1000,5,Staten Island,002900,50029001000,3288.513177,373418.096167,360850029001000
-74.07481301,40.61568040,9,1000,5,Staten Island,003600,50036001000,2437.592177,244604.820884,360850036001000
-74.09244684,40.61938992,10,1000,5,Staten Island,003900,50039001000,2893.000999,469845.590536,360850039001000
-74.08801866,40.61107181,11,1000,5,Staten Island,004000,50040001000,1511.173743,141296.561149,360850040001000
-74.09126321,40.61653824,12,1000,5,Staten Island,004700,50047001000,5095.163430,1058268.032180,360850047001000
-74.09441554,40.62749591,13,1000,5,Staten Island,005900,50059001000,9586.939750,4824705.252470,360850059001000
-74.07792487,40.60096362,14,1000,5,Staten Island,006400,50064001000,1978.243852,200784.983607,360850064001000
-74.06655918,40.59735122,15,1000,5,Staten Island,007400,50074001000,1540.875312,139083.989740,360850074001000
-74.08597239,40.63603793,16,1000,5,Staten Island,007500,50075001000,1412.642887,123560.515383,360850075001000
-74.08773713,40.63913950,17,1000,5,Staten Island,007700,50077001000,2421.037308,205770.964472,360850077001000
-74.08319262,40.60084571,18,1000,5,Staten Island,009601,50096011000,3905.234390,640395.194753,360850096011000
-74.10829852,40.63767095,19,1000,5,Staten Island,010500,50105001000,2194.465636,288531.420249,360850105001000
-74.08782090,40.58393927,20,1000,5,Staten Island,011201,50112011000,1943.029020,196112.284882,360850112011000
-74.10020563,40.57915816,21,1000,5,Staten Island,011202,50112021000,1233.682178,92737.758773,360850112021000
-74.09775958,40.58800880,22,1000,5,Staten Island,011401,50114011000,1094.120092,66684.087521,360850114011000
-74.10187683,40.58311666,23,1000,5,Staten Island,011402,50114021000,1942.556759,183061.337294,360850114021000
-74.10513385,40.62530779,24,1000,5,Staten Island,012100,50121001000,1793.986645,170250.758542,360850121001000
-74.10663318,40.57784576,25,1000,5,Staten Island,012200,50122001000,1587.811375,139819.271441,360850122001000
-74.11787565,40.63209612,26,1000,5,Staten Island,012500,50125001000,1934.120821,215177.966984,360850125001000
-74.11011191,40.56745297,27,1000,5,Staten Island,012804,50128041000,6080.392114,2184278.073760,360850128041000
-74.11986023,40.55860228,28,1000,5,Staten Island,012805,50128051000,4640.239479,635446.123684,360850128051000
-74.11448368,40.56032078,29,1000,5,Staten Island,012806,50128061000,2498.129500,281050.726774,360850128061000
-74.12631438,40.56698194,30,1000,5,Staten Island,013201,50132011000,4338.685959,880690.006956,360850132011000
-74.13904642,40.55574332,31,1000,5,Staten Island,013203,50132031000,2559.084181,309488.059015,360850132031000
-74.12845716,40.56301328,32,1000,5,Staten Island,013204,50132041000,2855.856577,201451.887774,360850132041000
-74.11891755,40.63560480,33,1000,5,Staten Island,013301,50133011000,3428.312290,721784.674433,360850133011000
-74.12498129,40.63636821,34,1000,5,Staten Island,013302,50133021000,2030.334226,210382.022092,360850133021000
-74.12056355,40.57533443,35,1000,5,Staten Island,013400,50134001000,1076.670462,43232.191142,360850134001000
-74.13768377,40.57245607,36,1000,5,Staten Island,013800,50138001000,1351.102708,110567.399891,360850138001000
-74.12637883,40.63042106,37,1000,5,Staten Island,014100,50141001000,3465.446486,419768.556855,360850141001000
-74.15374465,40.55431113,38,1000,5,Staten Island,014604,50146041000,2851.594638,361755.851450,360850146041000
-74.15256526,40.56585055,39,1000,5,Staten Island,014605,50146051000,1766.454298,159883.069226,360850146051000
-74.16357148,40.55978980,40,1000,5,Staten Island,014607,50146071000,2316.414101,305282.145602,360850146071000
-74.15612775,40.56217612,41,1000,5,Staten Island,014608,50146081000,2688.759398,400307.576704,360850146081000
-74.12056381,40.62481020,42,1000,5,Staten Island,014700,50147001000,6504.110094,2000039.587580,360850147001000
-74.12567153,40.62597341,43,1000,5,Staten Island,015100,50151001000,2378.326498,329774.923930,360850151001000
-74.15070422,40.54743470,44,1000,5,Staten Island,015601,50156011000,4602.617905,740521.616654,360850156011000
-74.16421111,40.54273856,45,1000,5,Staten Island,015602,50156021000,1024.870076,63393.305161,360850156021000
-74.15181697,40.53461672,46,1000,5,Staten Island,015603,50156031000,1941.242465,164263.488519,360850156031000
